application_number,advice_date,ego_examiner_id,alter_examiner_id,ego_gender,alter_gender,ego_workgroup,alter_workgroup,ego_race,alter_race,alter_au,ego_au
9402488,17/11/2008,84356.0,66266.0,male,female,165,164,white,white,1647,1656
9402488,17/11/2008,84356.0,63519.0,male,male,165,165,white,white,1657,1656
9402488,17/11/2008,84356.0,98531.0,male,female,165,165,white,white,1652,1656
9445135,21/08/2008,92953.0,93865.0,female,male,242,216,Asian,Asian,2166,2424
9445135,21/08/2008,92953.0,91818.0,female,female,242,214,Asian,Asian,2143,2424
9484331,07/02/2008,72253.0,61519.0,male,male,163,163,white,Asian,1632,1632
9484331,07/02/2008,72253.0,72253.0,male,male,163,163,white,white,1632,1632
9484331,07/02/2008,72253.0,67515.0,male,male,163,163,white,Asian,1632,1632
9489652,10/01/2008,67078.0,75772.0,male,female,219,218,Asian,Asian,2183,2199
9489652,10/01/2008,67078.0,97328.0,male,male,219,219,Asian,white,2199,2199
9491624,29/05/2008,91688.0,71059.0,female,male,165,161,white,white,1615,1653
9491624,29/05/2008,91688.0,67669.0,female,male,165,165,white,white,1653,1653
9495207,25/04/2008,61797.0,96691.0,male,female,247,219,white,Asian,2193,2476
9495207,25/04/2008,61797.0,78036.0,male,female,247,217,white,Asian,2177,2476
9498396,25/01/2008,94270.0,81337.0,female,male,244,163,black,Asian,1633,2448
9498396,25/07/2008,94270.0,81337.0,female,male,244,163,black,Asian,1633,2448
9498396,25/01/2008,94270.0,66927.0,female,male,244,244,black,Asian,2441,2448
9498396,25/07/2008,94270.0,66927.0,female,male,244,244,black,Asian,2441,2448
9501716,23/12/2008,73223.0,92537.0,female,male,246,171,black,Asian,1713,2467
9504236,25/02/2008,94270.0,97655.0,female,male,244,244,black,Asian,2444,2448
9504236,30/10/2008,94270.0,97655.0,female,male,244,244,black,Asian,2444,2448
9504236,25/02/2008,94270.0,81337.0,female,male,244,163,black,Asian,1633,2448
9504236,25/02/2008,94270.0,66927.0,female,male,244,244,black,Asian,2441,2448
9505951,03/01/2008,60128.0,69459.0,male,male,249,243,white,white,2437,2492
9547288,22/02/2008,75772.0,99395.0,female,male,218,218,Asian,white,2188,2183
9547288,22/09/2008,75772.0,99395.0,female,male,218,218,Asian,white,2188,2183
9547288,22/02/2008,75772.0,77746.0,female,male,218,218,Asian,white,2183,2183
9547288,22/09/2008,75772.0,77746.0,female,male,218,218,Asian,white,2183,2183
9553337,21/03/2008,67713.0,77746.0,female,male,218,218,white,white,2183,2184
9553337,21/03/2008,67713.0,73567.0,female,male,218,211,white,Asian,2115,2184
9556062,23/04/2008,67713.0,73567.0,female,male,218,211,white,Asian,2115,2184
9566800,25/09/2008,90730.0,76536.0,male,female,244,245,Asian,white,2452,2448
9568215,24/07/2008,66805.0,92028.0,Other,male,249,240,Asian,white,2403,2495
9577489,28/10/2008,82105.0,70571.0,male,female,167,217,Hispanic,Asian,2176,1675
9582808,01/04/2008,97910.0,59738.0,male,male,167,164,white,Asian,1641,1678
9582808,01/04/2008,97910.0,99004.0,male,male,167,248,white,Asian,2485,1678
9582808,01/04/2008,97910.0,67669.0,male,male,167,165,white,white,1653,1678
9586410,19/03/2008,63657.0,87028.0,Other,male,219,219,Asian,Asian,2191,2196
9588828,14/07/2008,59397.0,73191.0,Other,male,249,243,white,white,2439,2498
9589200,16/06/2008,63657.0,92028.0,Other,male,219,240,Asian,white,2403,2196
9589200,16/06/2008,63657.0,87028.0,Other,male,219,219,Asian,Asian,2191,2196
9590417,29/05/2008,67355.0,94120.0,male,female,242,177,white,white,1773,2424
9591621,03/04/2008,96663.0,60986.0,Other,female,212,214,white,Asian,2142,2128
9596629,02/07/2008,92763.0,62242.0,male,male,244,214,white,white,2145,2442
9602034,24/04/2008,85308.0,64243.0,female,male,245,245,white,black,2457,2457
9602576,02/01/2008,64572.0,72086.0,male,male,245,246,white,white,2464,2457
9603601,22/12/2008,77761.0,74211.0,male,male,215,215,white,Hispanic,2157,2159
9603601,22/12/2008,77761.0,75373.0,male,male,215,216,white,black,2163,2159
9606786,26/02/2008,75973.0,62242.0,Other,male,245,214,Asian,white,2145,2456
9609690,29/04/2008,73119.0,70835.0,male,male,245,215,white,white,2157,2457
9609690,29/04/2008,73119.0,69643.0,male,male,245,218,white,white,2181,2457
9613123,08/12/2008,88496.0,85308.0,Other,female,245,245,Asian,white,2457,2457
9617036,01/05/2008,96021.0,65231.0,male,male,242,242,white,white,2427,2427
9618956,01/05/2008,67570.0,62690.0,male,male,244,214,white,white,2142,2445
9630798,07/10/2008,64572.0,85084.0,male,Other,245,242,white,Asian,2426,2457
9630896,21/08/2008,98330.0,95726.0,male,female,241,247,white,black,2474,2413
9633801,23/12/2008,97728.0,69002.0,Other,male,244,210,white,Asian,2100,2444
9633801,23/12/2008,97728.0,68227.0,Other,male,244,174,white,Asian,1744,2444
9640103,28/05/2008,68584.0,74114.0,female,male,244,214,white,white,2143,2443
9649215,06/06/2008,97590.0,66905.0,male,Other,219,217,Asian,Asian,2179,2193
9652360,19/03/2008,72099.0,85990.0,female,male,216,218,Asian,Asian,2187,2163
9652502,24/07/2008,73119.0,90049.0,male,male,245,245,white,white,2458,2457
9657956,07/01/2008,66885.0,63843.0,Other,Other,212,247,Asian,Asian,2478,2124
9657956,07/01/2008,66885.0,74114.0,Other,male,212,214,Asian,white,2143,2124
9658298,09/04/2008,75919.0,79585.0,Other,male,245,215,Asian,white,2154,2451
9659258,22/05/2008,91818.0,69502.0,female,male,214,218,Asian,white,2183,2143
9659643,15/08/2008,91989.0,72814.0,female,male,162,161,white,white,1614,1629
9659643,15/08/2008,91989.0,71059.0,female,male,162,161,white,white,1615,1629
9660005,10/11/2008,68593.0,73528.0,male,female,244,165,white,white,1657,2444
9662849,29/10/2008,65547.0,95660.0,female,male,176,173,white,white,1734,1764
9662849,29/10/2008,65547.0,66762.0,female,male,176,177,white,white,1771,1764
9665241,30/01/2008,60802.0,67389.0,male,male,244,245,white,white,2451,2441
9665241,30/01/2008,60802.0,92028.0,male,male,244,240,white,white,2403,2441
9670119,18/04/2008,68450.0,62033.0,Other,female,243,243,Asian,Asian,2435,2431
9670119,18/04/2008,68450.0,98905.0,Other,Other,243,243,Asian,Asian,2435,2431
9671571,28/11/2008,75973.0,76536.0,Other,female,245,245,Asian,white,2452,2456
9672204,17/10/2008,66685.0,64243.0,male,male,245,245,black,black,2457,2457
9676727,29/05/2008,96663.0,60986.0,Other,female,212,214,white,Asian,2142,2128
9676727,29/05/2008,96663.0,66030.0,Other,Other,212,212,white,white,2122,2128
9678573,07/04/2008,75929.0,98108.0,male,Other,243,213,white,white,2134,2434
9679320,25/01/2008,59397.0,62188.0,Other,male,249,243,white,white,2439,2498
