application_number,advice_date,ego_examiner_id,alter_examiner_id
9402488,2008-11-17,84356.0,66266.0
9402488,2008-11-17,84356.0,63519.0
9402488,2008-11-17,84356.0,98531.0
9445135,2008-08-21,92953.0,71313.0
9445135,2008-08-21,92953.0,93865.0
9445135,2008-08-21,92953.0,91818.0
9479304,2008-12-15,61767.0,69277.0
9479304,2008-12-15,61767.0,92446.0
9479304,2008-12-15,61767.0,66805.0
9479304,2008-12-15,61767.0,70919.0
9484331,2008-02-07,72253.0,61519.0
9484331,2008-02-07,72253.0,67515.0
9489652,2008-01-10,67078.0,75772.0
9489652,2008-01-10,67078.0,97328.0
9491624,2008-05-29,91688.0,71059.0
9491624,2008-05-29,91688.0,67669.0
9495207,2008-04-25,61797.0,60897.0
9495207,2008-04-25,61797.0,98690.0
9495207,2008-04-25,61797.0,96691.0
9495207,2008-04-25,61797.0,80174.0
9495207,2008-04-25,61797.0,78036.0
9498396,2008-01-25,94270.0,99319.0
9498396,2008-07-25,94270.0,99319.0
9498396,2008-01-25,94270.0,81337.0
9498396,2008-07-25,94270.0,81337.0
9498396,2008-01-25,94270.0,66927.0
9498396,2008-07-25,94270.0,66927.0
9500698,2008-08-07,94270.0,76378.0
9501716,2008-12-23,73223.0,92537.0
9504236,2008-02-25,94270.0,97655.0
9504236,2008-10-30,94270.0,97655.0
9504236,2008-02-25,94270.0,99319.0
9504236,2008-02-25,94270.0,81337.0
9504236,2008-02-25,94270.0,66927.0
9504236,2008-10-30,94270.0,71536.0
9505951,2008-01-03,60128.0,69459.0
9508869,2008-01-02,66378.0,74747.0
9513086,2008-05-06,82597.0,72253.0
9513086,2008-05-06,82597.0,62312.0
9537118,2008-01-03,96070.0,92569.0
9547288,2008-02-22,75772.0,62774.0
9547288,2008-09-22,75772.0,62774.0
9547288,2008-02-22,75772.0,99395.0
9547288,2008-09-22,75772.0,99395.0
9547288,2008-02-22,75772.0,77746.0
9547288,2008-09-22,75772.0,77746.0
9553337,2008-03-21,67713.0,77746.0
9553337,2008-03-21,67713.0,73567.0
9553337,2008-03-21,67713.0,92680.0
9556062,2008-04-23,67713.0,73567.0
9566747,2008-10-16,61043.0,92569.0
9566800,2008-09-25,94646.0,76536.0
9566800,2008-09-25,90730.0,76536.0
9566800,2008-09-25,94646.0,63197.0
9566800,2008-09-25,90730.0,63197.0
9568215,2008-07-24,66805.0,92028.0
9577489,2008-10-28,82105.0,70571.0
9577489,2008-10-28,82105.0,76964.0
9582808,2008-04-01,97910.0,59738.0
9582808,2008-04-01,97910.0,99004.0
9582808,2008-04-01,97910.0,67669.0
9586410,2008-03-19,63657.0,87028.0
9586550,2008-04-17,67972.0,74028.0
9588828,2008-07-14,59397.0,77058.0
9588828,2008-07-14,59397.0,73191.0
9589200,2008-06-16,63657.0,92028.0
9589200,2008-06-16,63657.0,87028.0
9590417,2008-05-29,67355.0,94120.0
9591621,2008-04-03,96663.0,60986.0
9591621,2008-04-03,96663.0,74063.0
9591621,2008-04-03,96663.0,64538.0
9596629,2008-07-02,92763.0,62242.0
9597196,2008-03-18,94270.0,76378.0
9597196,2008-10-15,94270.0,76378.0
9597315,2008-09-08,92674.0,93043.0
9599542,2008-06-26,87666.0,61185.0
9602034,2008-04-24,85308.0,64243.0
9602576,2008-01-02,64572.0,72086.0
9603601,2008-12-22,77761.0,66568.0
9603601,2008-12-22,77761.0,74211.0
9603601,2008-12-22,77761.0,75373.0
9603601,2008-12-22,77761.0,78350.0
9604199,2008-04-10,85308.0,60407.0
9606786,2008-02-26,75973.0,62242.0
9609690,2008-04-29,73119.0,70835.0
9609690,2008-04-29,73119.0,69643.0
9610798,2008-03-17,92563.0,80643.0
9610798,2008-03-17,92563.0,63106.0
9610798,2008-03-17,92563.0,69502.0
9610798,2008-03-17,92563.0,72381.0
9610798,2008-09-30,92563.0,72381.0
9613123,2008-12-08,88496.0,85308.0
9617036,2008-05-01,96021.0,65231.0
9617036,2008-01-28,68018.0,62384.0
9617036,2008-01-28,68018.0,96021.0
9617036,2008-01-28,68018.0,70222.0
9617036,2008-01-28,68018.0,65231.0
9618956,2008-05-01,67570.0,62690.0
9620053,2008-03-05,69438.0,60897.0
9623780,2008-10-29,97974.0,94753.0
9627139,2008-12-23,65660.0,96653.0
9630798,2008-10-07,64572.0,85084.0
9630896,2008-08-21,98330.0,95726.0
9633801,2008-12-23,97728.0,69002.0
9633801,2008-12-23,97728.0,68227.0
9633801,2008-12-23,97728.0,95442.0
9633801,2008-12-23,97728.0,96224.0
9633801,2008-12-23,97728.0,89457.0
9640103,2008-05-28,68584.0,74114.0
9649215,2008-06-06,97590.0,92569.0
9649215,2008-06-06,97590.0,66905.0
9652360,2008-03-19,72099.0,85990.0
9652502,2008-07-24,73119.0,90049.0
9653039,2008-10-20,66685.0,67442.0
9657956,2008-01-07,66885.0,63843.0
9657956,2008-01-07,66885.0,74114.0
9658298,2008-04-09,75919.0,79585.0
9659258,2008-05-22,91818.0,80643.0
9659258,2008-05-22,91818.0,63106.0
9659258,2008-05-22,91818.0,69502.0
9659643,2008-08-15,91989.0,72814.0
