application_number,examiner_id,au,app_filing_date,app_last_action_date,app_disposal_type,gender,race,examiner_earliest_date,processing_time,au_group,tenure,latest_action_date_x,latest_action_date_y,latest_action_date,degree,betweenness,closeness,degree_weighted_by_tenure,app_proc_time,num_applications
13122597,62160.0,162,2011-06-20,2014-10-15,ISS,female,Asian,2000-01-10,1213,162,5392,2017-05-23,2014-10-15,2014-10-15,,,,,1213,2
11442804,62095.0,179,2006-05-30,2009-07-10,ABN,male,white,2004-12-15,1137,179,1981,2017-05-23,2010-05-19,2010-05-19,,,,,1450,2
13395606,62475.0,162,2012-05-25,2015-08-12,ISS,female,white,2005-06-28,1174,162,4313,2017-05-20,2017-04-19,2017-04-19,,,,,1790,2
14968931,65135.0,179,2015-12-15,2017-02-23,PEND,female,white,2000-05-03,436,179,6140,2017-05-17,2017-02-23,2017-02-23,,,,,436,2
10567998,93553.0,179,2006-02-10,2007-11-21,ABN,male,Asian,2000-01-21,649,179,5329,2017-05-19,2014-08-24,2014-08-24,0.007042253521126761,0.0,0.1173828686404139,6036.0,3117,1
12402259,97520.0,162,2009-03-11,2011-11-08,ABN,female,white,2002-02-25,972,162,4382,2017-05-22,2014-02-24,2014-02-24,0.007042253521126761,0.0,0.009389671361502348,4249.0,1811,6
11866112,75563.0,179,2007-10-02,2009-02-11,ISS,female,white,2000-01-06,498,179,5970,2017-05-23,2016-05-11,2016-05-11,,,,,3144,3
14686535,99368.0,162,2015-04-14,2016-02-03,ISS,male,white,2003-03-31,295,162,4692,2017-05-22,2016-02-03,2016-02-03,,,,,295,2
12992270,96069.0,162,2011-02-24,2012-07-02,ABN,male,white,2004-07-28,494,162,3724,2017-05-18,2014-10-08,2014-10-08,,,,,1322,3
11898694,70248.0,179,2007-09-14,2014-10-10,ISS,female,white,2000-01-12,2583,179,5385,2017-05-23,2014-10-10,2014-10-10,0.007042253521126761,0.0,0.007042253521126761,2281.0,2583,1
13587982,92869.0,162,2012-08-17,2014-02-21,ABN,female,white,2002-07-08,553,162,4523,2017-05-19,2014-11-25,2014-11-25,,,,,830,5
11938940,65530.0,179,2007-11-13,2010-05-12,ISS,female,Asian,2000-01-03,911,179,6054,2017-05-18,2016-07-31,2016-07-31,,,,,3183,1
11661759,72103.0,179,2007-03-02,2009-12-22,ABN,male,Asian,2005-02-22,1026,179,4180,2017-05-20,2016-08-03,2016-08-03,,,,,3442,1
12531394,93677.0,162,2009-09-15,2013-05-22,ISS,male,white,2000-01-04,1345,162,6186,2017-11-08,2016-12-11,2016-12-11,,,,,2644,4
12665045,88110.0,162,2009-12-17,2013-01-16,ISS,female,white,2000-01-11,1126,162,6292,2017-05-23,2017-04-03,2017-04-03,,,,,2664,10
11476885,66251.0,179,2006-06-29,2015-02-27,ISS,female,white,2003-03-14,3165,179,4368,2017-04-14,2015-02-27,2015-02-27,0.02112676056338028,0.009578705847809831,0.15103091194871637,13104.0,3165,4
11234013,72666.0,179,2005-09-23,2016-06-03,ISS,male,white,2000-01-03,3906,179,5996,2017-05-20,2016-06-03,2016-06-03,0.02112676056338028,0.004894615922485267,0.0848968348838418,14690.0,3906,2
